Date,Open,High,Low,Close
14-March-2016,7319.57,7387.12,7313.12,7327.04,
15-March-2016,7344.08,7380.49,7295.43,7341.21,
16-March-2016,7342.09,7356.78,7209.82,7284.74,
17-March-2016,7373.23,7401.11,7260.83,7277.18,
18-March-2016,7334.49,7450.00,7322.53,7433.25,
21-March-2016,7452.06,7472.11,7397.96,7455.40,
22-March-2016,7477.92,7540.86,7410.83,7514.68,
23-March-2016,7528.39,7656.47,7528.39,7643.19,
28-March-2016,7664.67,7674.91,7312.89,7343.78,
29-March-2016,7350.38,7445.32,7327.48,7373.17,
30-March-2016,7451.11,7624.31,7418.63,7599.02,
31-March-2016,7658.73,7676.77,7497.95,7540.75,
1-April-2016,7538.26,7538.30,7435.44,7489.03,
4-April-2016,7501.64,7553.26,7480.24,7511.07,
5-April-2016,7485.20,7485.61,7281.63,7300.07,
6-April-2016,7327.36,7524.04,7323.16,7470.10,
7-April-2016,7496.93,7525.23,7432.45,7448.82,
8-April-2016,7451.89,7507.96,7409.49,7467.36,
11-April-2016,7471.71,7614.29,7460.43,7600.37,
12-April-2016,7556.94,7571.93,7478.38,7495.80,
13-April-2016,7577.48,7700.98,7563.28,7656.12,
18-April-2016,7666.04,7732.13,7595.29,7718.57,
20-April-2016,7771.25,8030.14,7771.25,8009.78,
21-April-2016,8060.47,8116.61,7996.11,8039.96,
22-April-2016,8059.39,8102.24,8001.22,8020.47,
25-April-2016,8024.00,8037.36,7874.67,7935.49,
26-April-2016,7940.78,8106.49,7925.25,8092.34,
27-April-2016,8113.21,8152.78,8066.40,8093.23,
28-April-2016,8108.72,8128.13,7892.74,7918.23,
29-April-2016,7906.69,8020.07,7833.45,7958.93,
2-May-2016,7962.51,8072.30,7904.70,8040.06,
3-May-2016,8068.76,8112.03,7902.23,7932.14,
4-May-2016,7886.72,7887.43,7636.32,7655.40,
5-May-2016,7636.27,7737.50,7596.96,7680.39,
6-May-2016,7651.15,7691.70,7587.98,7672.21,
9-May-2016,7700.13,7773.78,7674.84,7713.33,
10-May-2016,7689.15,7706.80,7611.75,7623.63,
11-May-2016,7491.08,7654.58,7479.39,7606.35,
12-May-2016,7636.25,7670.75,7590.18,7658.84,
13-May-2016,7596.22,7625.74,7488.76,7502.60,
16-May-2016,7502.94,7570.97,7469.38,7560.68,
17-May-2016,7593.34,7619.32,7545.51,7560.29,
18-May-2016,7545.38,7618.48,7492.68,7606.62,
19-May-2016,7606.40,7689.47,7467.90,7484.11,
20-May-2016,7494.95,7534.21,7445.48,7461.02,
23-May-2016,7493.54,7528.97,7422.00,7432.59,
24-May-2016,7430.93,7457.20,7340.26,7445.84,
25-May-2016,7502.20,7534.24,7474.83,7527.49,
26-May-2016,7510.89,7613.60,7499.73,7594.28,
27-May-2016,7615.59,7698.84,7607.20,7683.60,
30-May-2016,7825.42,7952.32,7824.92,7859.16,
31-May-2016,7890.01,7996.83,7781.56,7950.38,
1-June-2016,7977.16,7996.63,7888.13,7906.43,
2-June-2016,7901.41,8085.02,7883.12,8063.83,
3-June-2016,8125.04,8166.36,8043.08,8064.49,
6-June-2016,8060.49,8103.31,7985.23,8059.58,
7-June-2016,8080.13,8180.71,8064.43,8164.26,
8-June-2016,8179.71,8197.48,8123.45,8175.68,
9-June-2016,8180.07,8322.92,8173.42,8305.82,
10-June-2016,8319.75,8419.05,8267.15,8284.43,
13-June-2016,8208.00,8221.76,8136.51,8194.09,
14-June-2016,8215.23,8247.10,8175.41,8233.21,
15-June-2016,8281.12,8308.74,8191.12,8298.41,
16-June-2016,8280.97,8354.82,8211.05,8332.37,
17-June-2016,8366.97,8396.19,8319.14,8352.30,
20-June-2016,8301.86,8481.17,8287.42,8469.42,
21-June-2016,8495.47,8530.65,8437.78,8456.38,
22-June-2016,8480.26,8480.38,8373.15,8457.96,
23-June-2016,8475.90,8520.97,8407.78,8494.55,
24-June-2016,8155.61,8230.66,7934.95,8189.62,
27-June-2016,8165.25,8249.28,8111.69,8213.21,
28-June-2016,8229.98,8312.79,8222.08,8295.79,
29-June-2016,8330.22,8407.87,8330.22,8374.02,
30-June-2016,8451.57,8552.79,8430.11,8519.69,
1-July-2016,8568.43,8620.76,8562.30,8571.39,
4-July-2016,8599.90,8727.10,8599.90,8714.70,
5-July-2016,8719.72,8800.64,8691.44,8749.46,
7-July-2016,8804.58,8869.58,8669.35,8692.10,
8-July-2016,8688.38,8704.39,8593.90,8649.31,
11-July-2016,8743.06,8880.10,8743.06,8862.34,
12-July-2016,8910.02,9143.64,8874.32,9116.51,
13-July-2016,9156.59,9378.91,9140.62,9283.10,
14-July-2016,9304.92,9361.31,9210.36,9312.06,
15-July-2016,9338.05,9428.05,9298.79,9368.20,
18-July-2016,9401.40,9458.47,9227.05,9270.85,
19-July-2016,9281.71,9352.57,9217.46,9300.89,
20-July-2016,9327.63,9394.19,9310.50,9368.55,
21-July-2016,9375.57,9401.75,9290.50,9309.82,
22-July-2016,9307.56,9464.20,9214.23,9434.82,
25-July-2016,9444.30,9512.45,9373.84,9487.12,
26-July-2016,9510.79,9591.28,9447.62,9478.80,
27-July-2016,9487.39,9576.06,9378.05,9536.07,
28-July-2016,9528.96,9553.05,9432.99,9465.75,
29-July-2016,9504.18,9556.28,9393.35,9406.16,
1-August-2016,9469.43,9560.33,9383.48,9529.56,
2-August-2016,9533.07,9583.78,9339.61,9359.47,
3-August-2016,9416.81,9465.43,9334.27,9365.92,
4-August-2016,9443.56,9529.13,9373.64,9508.87,
5-August-2016,9567.98,9764.71,9565.92,9752.38,
8-August-2016,9800.19,9888.50,9786.74,9815.05,
9-August-2016,9834.74,9849.27,9709.07,9747.04,
10-August-2016,9786.63,9832.73,9627.26,9698.48,
11-August-2016,9693.55,9716.83,9521.98,9632.18,
12-August-2016,9662.98,9803.02,9653.62,9753.67,
16-August-2016,9750.05,9917.45,9733.79,9894.64,
17-August-2016,9887.91,10111.01,9883.81,10098.78,
18-August-2016,10135.95,10141.29,10023.89,10043.48,
19-August-2016,10085.79,10169.91,10021.69,10144.32,
22-August-2016,10115.81,10133.67,10021.66,10080.83,
23-August-2016,10080.54,10116.36,9930.95,10050.65,
24-August-2016,10067.00,10079.52,10006.48,10028.55,
25-August-2016,10040.38,10063.73,9855.40,9885.18,
26-August-2016,9897.21,9927.14,9824.24,9870.22,
29-August-2016,9861.50,9998.85,9832.91,9975.79,
30-August-2016,10016.70,10099.88,10011.55,10081.00,
31-August-2016,10085.71,10145.02,9902.62,9939.73,
1-September-2016,9942.81,10018.72,9906.58,9971.46,
2-September-2016,9973.71,10027.39,9854.81,9942.40,
6-September-2016,9943.01,10078.22,9943.01,10062.92,
7-September-2016,10098.01,10195.77,10076.84,10169.20,
8-September-2016,10197.93,10350.48,10186.61,10262.74,
9-September-2016,10257.48,10273.91,10060.07,10080.85,
12-September-2016,9913.81,9941.59,9612.27,9643.11,
14-September-2016,9595.34,9667.49,9504.58,9654.86,
15-September-2016,9691.96,9716.07,9556.85,9630.78,
16-September-2016,9672.05,9734.95,9463.52,9508.79,
19-September-2016,9499.03,9650.30,9487.79,9635.49,
20-September-2016,9636.29,9734.43,9594.87,9667.78,
21-September-2016,9681.10,9772.69,9655.66,9719.12,
22-September-2016,9887.67,9914.75,9765.13,9819.53,
23-September-2016,9841.10,9899.40,9805.27,9837.68,
26-September-2016,9845.28,9908.06,9799.84,9845.41,
27-September-2016,9876.36,9924.38,9764.42,9778.23,
28-September-2016,9796.52,10000.34,9791.60,9965.79,
29-September-2016,10020.87,10047.07,9603.80,9649.41,
30-September-2016,9586.55,9788.16,9578.18,9763.66,
3-October-2016,9808.90,10017.87,9804.42,10002.44,
4-October-2016,10076.59,10108.26,9954.81,10080.84,
5-October-2016,10161.57,10208.86,10115.22,10150.32,
6-October-2016,10192.12,10302.16,10089.55,10157.30,
7-October-2016,10185.52,10265.97,10088.22,10258.40,
10-October-2016,10320.07,10459.07,10320.07,10410.38,
13-October-2016,10381.84,10381.84,10070.98,10211.29,
