Date,Open,High,Low,Close
17-July-2017,14751.87,14800.19,14680.05,14732.86,
18-July-2017,14731.05,14862.70,14711.23,14759.06,
19-July-2017,14851.21,15039.38,14851.21,15021.74,
20-July-2017,15038.41,15062.62,14897.66,14918.14,
21-July-2017,14966.30,14966.38,14745.51,14837.61,
24-July-2017,14875.72,14895.28,14760.94,14774.86,
25-July-2017,14790.81,14806.88,14690.69,14725.90,
26-July-2017,14766.72,14851.94,14728.74,14843.74,
27-July-2017,14890.01,14898.93,14641.89,14668.57,
28-July-2017,14560.06,14577.96,14378.21,14414.16,
31-July-2017,14461.91,14462.69,14179.95,14195.40,
1-August-2017,14182.95,14319.65,14179.11,14221.69,
2-August-2017,14239.46,14272.29,14132.20,14156.18,
3-August-2017,14193.08,14289.38,13980.77,14009.71,
4-August-2017,13957.97,13964.10,13716.63,13877.80,
7-August-2017,13940.49,13978.25,13869.96,13890.51,
8-August-2017,13900.19,13922.77,13685.91,13706.47,
9-August-2017,13650.05,13656.30,13136.60,13195.04,
10-August-2017,13221.64,13332.88,12631.77,12779.24,
11-August-2017,12703.55,12905.75,12513.13,12807.82,
14-August-2017,12761.82,13116.03,12759.31,13090.85,
16-August-2017,13125.66,13233.29,12999.79,13214.76,
17-August-2017,13245.94,13284.42,13126.41,13147.90,
18-August-2017,13122.60,13122.60,12849.71,12938.17,
21-August-2017,12975.93,13015.59,12705.92,12730.11,
22-August-2017,12784.07,12899.65,12720.21,12828.35,
23-August-2017,12872.96,12946.38,12866.51,12899.31,
24-August-2017,12939.60,13268.53,12917.08,13226.29,
28-August-2017,13263.00,13388.20,13245.45,13296.09,
29-August-2017,13293.31,13363.81,13120.89,13137.21,
30-August-2017,13173.94,13307.06,13173.94,13211.37,
31-August-2017,13244.69,13284.44,13128.93,13149.26,
1-September-2017,13230.94,13430.71,13230.94,13390.64,
4-September-2017,13429.17,13431.66,13198.83,13364.50,
5-September-2017,13407.22,13441.62,13326.97,13367.28,
6-September-2017,13319.79,13331.46,13174.04,13186.64,
7-September-2017,13228.14,13310.48,13193.92,13256.40,
8-September-2017,13258.90,13349.07,13102.40,13134.02,
11-September-2017,13178.18,13248.64,13110.51,13130.29,
12-September-2017,13189.31,13367.71,13123.69,13350.50,
13-September-2017,13366.78,13609.72,13320.46,13504.66,
14-September-2017,13659.74,13817.08,13659.74,13789.74,
15-September-2017,13726.88,13795.81,13635.61,13763.32,
18-September-2017,13793.31,13869.97,13668.25,13791.53,
19-September-2017,13845.67,13900.32,13724.74,13744.65,
20-September-2017,13795.18,13847.26,13686.72,13776.60,
21-September-2017,13833.87,14173.93,13827.46,14154.16,
22-September-2017,14150.48,14249.54,13827.30,13864.44,
25-September-2017,13905.03,13928.89,13546.44,13622.30,
26-September-2017,13611.85,13769.17,13581.18,13660.31,
27-September-2017,13639.64,13664.11,13275.75,13312.27,
28-September-2017,13339.46,13465.99,13253.95,13404.58,
29-September-2017,13463.10,13586.00,13423.97,13487.76,
3-October-2017,13597.52,13679.11,13535.32,13557.01,
4-October-2017,13607.64,13839.29,13603.96,13805.11,
5-October-2017,13886.30,13996.15,13833.56,13853.04,
6-October-2017,13912.62,13993.58,13883.67,13978.48,
9-October-2017,13981.16,14062.26,13950.30,13983.41,
10-October-2017,14028.08,14124.97,14018.62,14058.79,
11-October-2017,14078.16,14132.84,13870.68,13937.36,
12-October-2017,14054.95,14111.85,14006.18,14097.81,
13-October-2017,14124.53,14155.54,14039.93,14057.14,
16-October-2017,14096.65,14242.45,14091.33,14230.88,
17-October-2017,14226.10,14295.42,14185.38,14284.66,
18-October-2017,14312.40,14312.40,14159.90,14170.59,
19-October-2017,14189.02,14220.28,14087.90,14137.39,
23-October-2017,14163.97,14210.77,14006.07,14047.34,
24-October-2017,14058.43,14100.41,13980.36,13989.68,
25-October-2017,14043.36,14068.34,13820.08,13835.04,
26-October-2017,13861.90,13964.28,13783.48,13917.05,
27-October-2017,13953.94,14238.57,13953.94,14140.93,
30-October-2017,14174.68,14381.36,14124.64,14287.00,
31-October-2017,14285.55,14371.58,14224.09,14281.60,
1-November-2017,14298.93,14406.85,14240.04,14258.68,
2-November-2017,14350.42,14689.46,14347.27,14611.92,
3-November-2017,14633.45,14696.33,14453.99,14530.35,
6-November-2017,14550.25,14626.92,14501.26,14548.51,
7-November-2017,14618.67,14670.47,13946.40,14037.53,
8-November-2017,14120.97,14254.99,14012.18,14025.96,
9-November-2017,14115.44,14170.86,13807.40,13987.76,
10-November-2017,13987.44,14056.75,13803.21,13858.88,
13-November-2017,13866.86,13906.82,13704.75,13769.12,
14-November-2017,13772.66,13831.19,13702.36,13727.69,
15-November-2017,13729.07,13742.73,13514.49,13548.27,
16-November-2017,13580.11,13649.99,13549.11,13601.94,
17-November-2017,13654.24,13811.91,13654.24,13742.46,
20-November-2017,13761.36,13825.99,13743.43,13776.06,
21-November-2017,13819.52,14109.91,13810.13,14017.89,
22-November-2017,14034.49,14038.51,13919.06,13944.46,
23-November-2017,13931.24,14016.31,13915.36,13976.28,
24-November-2017,13985.89,14077.87,13979.43,14056.60,
27-November-2017,14033.87,14103.45,13995.99,14073.87,
28-November-2017,14074.86,14146.67,14003.30,14036.06,
29-November-2017,14071.72,14144.03,14048.42,14065.54,
30-November-2017,14045.95,14075.04,13964.86,13990.28,
1-December-2017,14028.93,14105.44,13825.80,13855.99,
4-December-2017,13981.87,14023.27,13825.90,13900.30,
5-December-2017,13915.96,13928.20,13817.54,13913.26,
6-December-2017,13919.80,13926.13,13759.33,13771.64,
7-December-2017,13780.72,13885.40,13763.36,13836.55,
8-December-2017,13904.98,14047.49,13882.14,14023.05,
11-December-2017,14061.44,14158.64,14059.15,14120.16,
12-December-2017,14193.65,14236.67,14011.11,14030.85,
13-December-2017,14053.57,14089.56,13866.82,13889.46,
14-December-2017,13922.98,14004.69,13858.82,13977.64,
15-December-2017,14039.07,14115.46,14012.79,14035.78,
18-December-2017,14072.68,14233.13,13813.45,14145.80,
19-December-2017,14183.71,14295.04,14183.71,14277.13,
20-December-2017,14276.89,14391.47,14249.70,14298.19,
21-December-2017,14327.58,14496.76,14317.75,14407.25,
22-December-2017,14433.80,14469.88,14399.45,14419.65,
26-December-2017,14435.80,14561.09,14425.77,14544.18,
27-December-2017,14587.89,14903.07,14579.47,14811.38,
28-December-2017,14869.47,14930.00,14751.56,14772.49,
29-December-2017,14871.93,14895.33,14771.80,14799.42,
1-January-2018,14843.91,14972.73,14771.80,14810.81,
2-January-2018,14830.43,14914.69,14656.20,14703.17,
3-January-2018,14722.43,14789.86,14660.25,14673.82,
4-January-2018,14692.03,14838.38,14646.49,14818.69,
5-January-2018,14859.57,14937.59,14824.01,14910.88,
8-January-2018,14975.56,15239.11,14975.56,15090.48,
9-January-2018,15131.61,15157.33,14976.22,14995.54,
10-January-2018,15047.55,15126.39,14930.93,14982.35,
11-January-2018,14987.59,15122.70,14957.71,15019.59,
12-January-2018,15052.31,15101.90,14874.91,14967.80,
15-January-2018,14996.14,15047.31,14904.07,14920.38,
16-January-2018,14928.69,14983.42,14760.90,14801.18,
17-January-2018,14835.44,14991.64,14691.54,14972.81,
18-January-2018,15021.04,15100.24,14737.25,14803.88,
19-January-2018,14827.30,14888.08,14779.51,14868.23,
22-January-2018,14843.10,14991.99,14837.57,14965.79,
23-January-2018,14989.52,15175.55,14988.14,15106.80,
24-January-2018,15090.81,15249.43,15029.46,15142.56,
25-January-2018,15122.82,15230.14,15004.80,15028.82,
29-January-2018,15047.06,15082.85,14852.03,14891.19,
30-January-2018,14869.55,14884.85,14715.56,14799.78,
31-January-2018,14784.12,14797.18,14521.69,14559.39,
1-February-2018,14570.09,14590.67,14207.26,14358.74,
2-February-2018,14334.34,14485.10,14025.89,14067.60,
5-February-2018,13936.44,14117.36,13768.60,14075.04,
6-February-2018,13727.15,13897.93,13554.88,13789.25,
7-February-2018,13913.26,13998.43,13869.45,13938.82,
8-February-2018,13958.12,14363.25,13949.09,14344.59,
9-February-2018,14124.90,14376.91,14072.35,14348.00,
12-February-2018,14411.14,14645.37,14411.14,14517.21,
14-February-2018,14580.00,14590.63,14374.27,14417.25,
15-February-2018,14345.79,14527.83,14307.18,14349.83,
16-February-2018,14390.49,14442.23,14228.36,14267.46,
19-February-2018,14288.14,14302.39,13989.76,14110.98,
20-February-2018,14103.75,14170.01,14038.82,14074.93,
21-February-2018,14074.50,14140.19,13791.52,13906.53,
22-February-2018,13892.49,14008.17,13843.46,13958.51,
23-February-2018,13982.14,14256.98,13977.59,14225.36,
26-February-2018,14216.74,14250.50,14161.10,14219.50,
27-February-2018,14257.69,14325.85,14123.89,14141.69,
28-February-2018,14103.22,14231.59,14054.55,14113.01,
1-March-2018,14158.23,14191.53,14021.54,14031.54,
5-March-2018,14023.31,14023.31,13852.81,13948.13,
6-March-2018,14031.51,14072.30,13751.53,13790.13,
7-March-2018,13783.99,13799.23,13547.95,13565.29,
8-March-2018,13583.85,13691.52,13405.18,13531.93,
9-March-2018,13547.34,13669.11,13416.70,13449.78,
12-March-2018,13517.48,13580.09,13402.14,13541.82,
13-March-2018,13533.25,13727.13,13517.29,13682.47,
14-March-2018,13701.27,13730.30,13653.73,13699.76,
15-March-2018,13700.60,13829.41,13668.06,13686.78,
16-March-2018,13673.29,13755.60,13489.69,13505.81,
19-March-2018,13597.51,13608.82,13361.59,13384.73,
20-March-2018,13346.41,13470.19,13236.58,13444.26,
21-March-2018,13483.82,13580.93,13357.02,13381.96,
22-March-2018,13460.30,13500.60,13286.81,13301.94,
23-March-2018,13206.26,13206.26,13017.42,13105.51,
26-March-2018,13125.76,13204.56,13035.73,13186.48,
27-March-2018,13247.03,13363.58,13233.16,13308.77,
28-March-2018,13321.52,13321.52,13129.12,13157.62,
2-April-2018,13208.49,13501.69,13208.49,13483.98,
3-April-2018,13469.12,13595.61,13428.28,13574.60,
4-April-2018,13614.05,13664.44,13413.85,13432.05,
5-April-2018,13475.05,13651.65,13475.05,13557.67,
6-April-2018,13551.66,13738.96,13545.00,13685.66,
9-April-2018,13732.98,13781.15,13636.79,13649.80,
10-April-2018,13657.54,13750.68,13607.19,13642.50,
11-April-2018,13669.20,13732.29,13612.33,13702.94,
12-April-2018,13705.76,13718.35,13579.59,13603.54,
13-April-2018,13624.59,13748.34,13616.34,13679.52,
16-April-2018,13630.62,13840.71,13613.41,13830.94,
17-April-2018,13850.56,13874.15,13771.05,13801.54,
18-April-2018,13832.69,13900.43,13713.72,13736.38,
19-April-2018,13770.29,13835.97,13736.43,13823.22,
20-April-2018,13822.01,13844.29,13749.97,13823.40,
23-April-2018,13807.31,14042.74,13804.31,14001.58,
24-April-2018,14048.89,14224.37,14040.77,14064.03,
25-April-2018,14065.02,14065.02,13897.54,13951.96,
26-April-2018,13958.97,14052.48,13913.39,13930.82,
27-April-2018,13981.48,14071.52,13961.90,14035.75,
30-April-2018,14072.34,14185.00,14072.01,14153.59,
2-May-2018,14176.32,14225.30,13972.71,14015.95,
3-May-2018,14041.34,14042.16,13806.20,13991.56,
4-May-2018,13988.17,13997.28,13829.71,13844.68,
7-May-2018,13845.08,13902.22,13666.79,13771.36,
8-May-2018,13823.88,13894.01,13714.80,13746.90,
9-May-2018,13753.97,13766.54,13671.40,13682.45,
10-May-2018,13691.00,13730.67,13442.22,13474.20,
11-May-2018,13498.48,13505.18,13318.81,13369.65,
14-May-2018,13376.39,13540.71,13322.52,13353.16,
15-May-2018,13319.88,13448.96,13203.47,13293.02,
16-May-2018,13290.74,13325.48,13163.28,13285.07,
17-May-2018,13303.72,13361.00,13219.51,13291.81,
18-May-2018,13339.58,13346.24,13001.72,13018.30,
21-May-2018,13005.17,13027.81,12667.32,12686.39,
